Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
0,0,תחבורה,1,0,1,,12.94579131,9.699359,31.24769838,34.79418174
3,0,מגורים,2,4,1,,78.07785713,220.1688936,31.24750085,34.79427472
1,0,מגורים,4,8,1,,70.59090884,193.4920093,31.24683012,34.79511395
1,0,מגורים,2,4,1,,84.5065227,240.0585357,31.2473594,34.79451302
2,0,מגורים,2,3,1,,74.9007663,195.7939212,31.24716483,34.79436097
3,0,מגורים,2,4,1,,81.27928341,205.7505387,31.24689866,34.79434352
1,1,בית כנסת,1,0,1,,55.1529128,174.3674254,31.24647476,34.79381259
3,0,מגורים,2,4,1,,104.7464109,316.0325967,31.24651273,34.79456621
1,0,מגורים,2,4,1,,80.68894864,229.9260727,31.24673378,34.79464656
3,0,מגורים,2,3,1,,90.50611716,281.7828791,31.24703975,34.79518997
3,0,מגורים,2,4,1,,85.57991678,218.9987508,31.2466236,34.79504125
3,0,מגורים,2,4,1,,80.09946828,239.3693159,31.24655898,34.79530427
1,1,מסחרי,1,0,1,,58.3318946,174.83065,31.24916904,34.79504901
1,1,מסחרי,1,0,1,,74.09629068,208.6510557,31.24897303,34.79508073
1,1,מסחרי,1,0,1,,70.61247458,215.9697133,31.24889127,34.79488862
1,1,מקלט,1,0,1,,27.70555752,47.82559894,31.24926246,34.79504937
1,1,מקלט,1,0,1,,32.22476913,57.94848948,31.24890925,34.79520767
1,1,בית ספר,1,0,1,,89.23040184,336.6129011,31.24678496,34.7930935
1,1,בית ספר,1,0,1,בי''ס מוריה,70.58054648,302.7558088,31.24664471,34.79341705
1,1,בית ספר,2,0,1,בי''ס מוריה,236.1642856,1084.446132,31.24648148,34.79284122
6,6,מסחרי,1,0,1,מרכז מסחרי אליעזר קפלן,182.0795999,910.0522098,31.24955806,34.79159904
1,1,מקלט,1,0,1,,33.63054048,65.61629953,31.24696933,34.79358577
2,0,מגורים,2,3,1,,87.71469535,244.2678541,31.24647949,34.79131029
1,1,מקלט,1,0,1,,29.72247424,22.55357058,31.24680049,34.79145732
1,1,מקלט,1,0,1,,31.16205843,24.71884274,31.24669515,34.79146134
3,0,מגורים,3,4,1,,82.46478502,301.5651816,31.24718212,34.79213295
3,0,מגורים,2,3,1,,59.48995027,140.6441232,31.24729621,34.7923784
2,0,מגורים,2,3,1,,73.00718549,176.7489708,31.24746533,34.79257793
3,1,מגורים,3,4,1,,93.52978163,282.1436715,31.24811724,34.79331554
3,0,מגורים,2,4,1,,118.0669322,324.7651199,31.24790733,34.79361101
1,1,גן ילדים,1,0,1,,68.67067278,319.01086,31.24720254,34.79278481
1,1,גן ילדים,1,0,1,,44.26714702,84.17507,31.24702824,34.79254517
1,1,גן ילדים,1,0,1,,42.95645886,78.3660125,31.24693974,34.79243188
1,0,מגורים,1,1,1,,43.32456835,116.9977164,31.24671407,34.79366745
3,0,מגורים,2,4,1,,92.35867063,279.3461271,31.24732292,34.79356338
1,0,בית כנסת,1,0,1,,51.35657394,115.857497,31.24636125,34.79388223
1,0,מגורים,1,1,1,,47.73124221,120.6330263,31.24696001,34.79541291
2,0,מגורים,2,4,1,,79.88859251,220.3347674,31.24932472,34.79457722
2,0,ישיבה,2,0,1,בית חב''ד המרכזי,98.75404308,389.5512429,31.2490783,34.79441336
3,0,מגורים,2,4,1,,87.35289159,266.8956848,31.24847976,34.79354388
3,0,מגורים,2,4,1,,88.97895589,261.2680861,31.24879639,34.79431291
3,0,מגורים,2,4,1,,87.56748101,249.1920788,31.24790185,34.79436349
3,0,מגורים,2,4,1,,83.82390984,293.7447525,31.24773102,34.79462709
3,0,מגורים,2,4,1,,85.48481572,220.4791211,31.24740678,34.79523036
3,0,מגורים,2,4,1,,106.864496,329.0835297,31.24733835,34.79546996
